iter	MultiClass
0	1.375801297
1	1.216173179
2	1.097230369
3	1.004420288
4	0.9216433132
5	0.8560071711
6	0.8019339535
7	0.752082017
8	0.7108148351
9	0.6720365859
10	0.6409146903
11	0.6086348452
12	0.5813644237
13	0.559752234
14	0.5399057309
15	0.5170340749
16	0.4983562578
17	0.4808167489
18	0.4645029941
19	0.4446207463
20	0.4316596297
21	0.4174374542
22	0.4078810477
23	0.3980955474
24	0.3854965484
25	0.376205457
26	0.3633430858
27	0.3522841973
28	0.3414260793
29	0.3325406748
30	0.3233990297
31	0.3169614475
32	0.3092606644
33	0.3028997109
34	0.2943257045
35	0.2897308626
36	0.284068745
37	0.2766831604
38	0.2714392006
39	0.2641486274
40	0.2595895485
41	0.2534794374
42	0.2488646326
43	0.2435039344
44	0.2374270092
45	0.2342201076
46	0.2292648154
47	0.2251486161
48	0.2212219966
49	0.2189868907
50	0.2159034713
51	0.2108412701
52	0.2066445675
53	0.2045082077
54	0.2004163542
55	0.1977927705
56	0.1958815256
57	0.1920084191
58	0.189526799
59	0.1873117615
60	0.183981277
61	0.1809002288
62	0.1780506446
63	0.1756465467
64	0.1734760948
65	0.1718038218
66	0.1696196079
67	0.1670845713
68	0.1652901529
69	0.1632976316
70	0.1613785842
71	0.1591762307
72	0.1561690621
73	0.1540818572
74	0.1519189442
75	0.1502293031
76	0.1486881561
77	0.1464160936
78	0.14431277
79	0.1417761184
80	0.1397249724
81	0.1379073893
82	0.1359949753
83	0.1347762744
84	0.1332571863
85	0.1320101322
86	0.1298635207
87	0.1277450983
88	0.1265134862
89	0.1251247578
90	0.1239867336
91	0.1223930958
92	0.1213376556
93	0.120620342
94	0.1195867162
95	0.1180385361
96	0.1171249823
97	0.1163248345
98	0.114906218
99	0.1135777885
100	0.1124431707
101	0.1108267618
102	0.1097402572
103	0.1086205084
104	0.107444806
105	0.1068192243
106	0.1060364953
107	0.1045044506
108	0.1033009367
109	0.1018850077
110	0.1005795621
111	0.09961192979
112	0.09825463823
113	0.09754193644
114	0.09669203837
115	0.09547205834
116	0.09444221296
117	0.09355574276
118	0.09296469
119	0.09226313067
120	0.09148668586
121	0.09062036185
122	0.08963033797
123	0.08870484425
124	0.08757463147
125	0.08712712313
126	0.08620069912
127	0.08517032904
128	0.08460386849
129	0.08412561927
130	0.08322577975
131	0.08250098461
132	0.08176731665
133	0.08103078469
134	0.0805548219
135	0.07966460995
136	0.07887286312
137	0.07813373338
138	0.07740806553
139	0.07637487637
140	0.07587376838
141	0.07536218557
142	0.0748564655
143	0.07426164927
144	0.07375244233
145	0.07298706286
146	0.07227164893
147	0.07189151532
148	0.07147733693
149	0.07102882537
150	0.07047649946
151	0.06960978538
152	0.06919672925
153	0.06879420037
154	0.06825471796
155	0.06760875765
156	0.06708480579
157	0.06656210313
158	0.06605828419
159	0.06576063752
160	0.06515167618
161	0.06452216941
162	0.06399841575
163	0.06375826115
164	0.06322812953
165	0.06264312626
166	0.06212512343
167	0.06162535448
168	0.06120992899
169	0.06049408364
170	0.05997689557
171	0.05951409396
172	0.05919093862
173	0.05888039684
174	0.05833485757
175	0.05790616435
176	0.05742432546
177	0.05697593192
178	0.05663530593
179	0.05621199013
180	0.05576432718
181	0.0552751529
182	0.0548111636
183	0.05442459505
184	0.05397522113
185	0.05360709963
186	0.05330193234
187	0.05280967483
188	0.05245782316
189	0.05228881235
190	0.05200499806
191	0.0513233618
192	0.05077547236
193	0.0503827304
194	0.05012680598
195	0.04948044892
196	0.04918120766
197	0.04893207864
198	0.04854441445
199	0.04828492591
200	0.04790670882
201	0.04763736969
202	0.04737059117
203	0.04702018256
204	0.04670499884
205	0.04647888267
206	0.04626008949
207	0.04610800204
208	0.04588901228
209	0.04545563941
210	0.04519710049
211	0.04491863863
212	0.04457350893
213	0.04419236043
214	0.04395201486
215	0.0434630554
216	0.04317319912
217	0.04287102184
218	0.04249451405
219	0.04220538443
220	0.04186881844
221	0.04155224403
222	0.04128009765
223	0.04101651894
224	0.04073002818
225	0.04040881815
226	0.04013589134
227	0.03994832552
228	0.0397938733
229	0.03951770363
230	0.0392869217
231	0.03900385556
232	0.03881674362
233	0.0386562039
234	0.03842652384
235	0.03819539442
236	0.03804354915
237	0.03779804899
238	0.03762056779
239	0.0373547763
240	0.03705790917
241	0.03686043802
242	0.03660067934
243	0.03644682267
244	0.03621586532
245	0.03600005738
246	0.03578756624
247	0.03552923884
248	0.03535046697
249	0.03517580026
250	0.03499223315
251	0.03479866306
252	0.03462410042
253	0.0344341798
254	0.03426944581
255	0.03413405054
256	0.03399089544
257	0.03382899074
258	0.03358858048
259	0.03347224089
260	0.03342097311
261	0.03333882892
262	0.03315410193
263	0.03294120933
264	0.03280922684
265	0.03270052476
266	0.03244987759
267	0.03229102042
268	0.03209757367
269	0.03192575248
270	0.03179444513
271	0.03164405741
272	0.0314681717
273	0.03129146426
274	0.03114425321
275	0.03102059556
276	0.03087034789
277	0.03069159423
278	0.03059045776
279	0.0304936027
280	0.03028871834
281	0.03012937632
282	0.02996508661
283	0.02985243155
284	0.02971661898
285	0.02959481419
286	0.02945197289
287	0.02931960161
288	0.02921892904
289	0.02901148069
290	0.02875795692
291	0.02855675697
292	0.02843073775
293	0.0282155393
294	0.02814911195
295	0.02801338505
296	0.0277942433
297	0.02765469759
298	0.02756344147
299	0.02742500638
300	0.02729634074
301	0.0271429385
302	0.02700483797
303	0.02682328048
304	0.02671892058
305	0.0265685398
306	0.02640297353
307	0.02633614737
308	0.02622625039
309	0.02607702403
310	0.02603903821
311	0.02596258115
312	0.02579559649
313	0.02568628923
314	0.02562273556
315	0.02544396643
316	0.02536776331
317	0.02526643053
318	0.02511659408
319	0.02498715077
320	0.02488343471
321	0.02480605297
322	0.02471895244
323	0.02459189531
324	0.02444459404
325	0.02428345947
326	0.02420032693
327	0.02409943233
328	0.02395711921
329	0.02386979815
330	0.02377590004
331	0.02366662347
332	0.02356045309
333	0.02344446121
334	0.02337053161
335	0.02328583805
336	0.02320788636
337	0.02309475993
338	0.02299111332
339	0.02289773607
340	0.02283248849
341	0.0227066683
342	0.02258853811
343	0.02249037104
344	0.02242157244
345	0.02237646905
346	0.02231826443
347	0.02220544815
348	0.02211253204
349	0.02206378825
350	0.02200231227
351	0.02196347234
352	0.02190091776
353	0.02182821491
354	0.02172933565
355	0.02164409783
356	0.021570465
357	0.02143805154
358	0.02133084098
359	0.02126136375
360	0.02122591743
361	0.02115676636
362	0.02112929411
363	0.02106538927
364	0.02094218477
365	0.02086061174
366	0.02079088603
367	0.02069522145
368	0.02061756838
369	0.02049022953
370	0.02039186916
371	0.02036210921
372	0.02031976913
373	0.02027078158
374	0.02011215483
375	0.02003075918
376	0.01997753297
377	0.01993346324
378	0.01987131804
379	0.01979702709
380	0.01975730201
381	0.01970079692
382	0.01963866742
383	0.01954198502
384	0.01951750391
385	0.01944275024
386	0.01933740788
387	0.01929674078
388	0.01920265908
389	0.0191493482
390	0.01911307448
391	0.01907873091
392	0.01897900473
393	0.0189010772
394	0.01876793714
395	0.01870798413
396	0.01864700487
397	0.01857581262
398	0.01854363656
399	0.01849039112
400	0.01843990107
401	0.01837165028
402	0.01833140931
403	0.01824488165
404	0.01821458524
405	0.01816087901
406	0.01812696588
407	0.0180221001
408	0.01798555592
409	0.01792509897
410	0.01784710536
411	0.01773074876
412	0.01764605254
413	0.0175642602
414	0.01754306485
415	0.01748161209
416	0.01746546768
417	0.0174251447
418	0.01736134617
419	0.01731493077
420	0.01728080933
421	0.01725002467
422	0.01724190605
423	0.01719534786
424	0.01712010081
425	0.0170753163
426	0.01701919844
427	0.01694281039
428	0.01690402012
429	0.01685748037
430	0.0168256432
431	0.01677575139
432	0.01673286581
433	0.01665010879
434	0.01656420923
435	0.01649180525
436	0.01642199373
437	0.01638366056
438	0.01633982012
439	0.01629312987
440	0.01623722901
441	0.01620239064
442	0.01615217965
443	0.01610380286
444	0.01607908001
445	0.01603924436
446	0.01596943489
447	0.015919051
448	0.01585244654
449	0.01583470724
450	0.01573469256
451	0.01569369019
452	0.01565991918
453	0.01561844197
454	0.01560233777
455	0.01555502856
456	0.0155150386
457	0.0154936933
458	0.01543330993
459	0.01539463641
460	0.01535840902
461	0.01531777419
462	0.01528173268
463	0.01519780448
464	0.01514721541
465	0.01512472346
466	0.01508232934
467	0.01501033327
468	0.01497404429
469	0.01490876056
470	0.01487211172
471	0.01482537613
472	0.01480075919
473	0.01477249309
474	0.01469509041
475	0.01467986577
476	0.01466075612
477	0.01459474827
478	0.01457921296
479	0.01451876528
480	0.01448673721
481	0.01443871176
482	0.01439594188
483	0.01436186177
484	0.01431048318
485	0.01424202899
486	0.01420260745
487	0.01415401906
488	0.01413596883
489	0.01410025349
490	0.01403384436
491	0.01401379708
492	0.01399302722
493	0.01396152533
494	0.01393168217
495	0.01387531967
496	0.01382465898
497	0.01378773812
498	0.01375792258
499	0.01367301822
500	0.01360998884
501	0.01358205307
502	0.01349859068
503	0.01347699059
504	0.01344385749
505	0.01340131451
506	0.013356645
507	0.01332891582
508	0.01328827084
509	0.01325975742
510	0.01323403966
511	0.013210709
512	0.01317610972
513	0.01311258546
514	0.01308945122
515	0.01303904879
516	0.01301129526
517	0.01298233489
518	0.0129504804
519	0.01292426918
520	0.01284955911
521	0.01283141901
522	0.01278917076
523	0.01276224284
524	0.01274230468
525	0.01271707859
526	0.01268784229
527	0.01265123576
528	0.01262242366
529	0.01259784966
530	0.01256528183
531	0.01255087913
532	0.01252347602
533	0.01248578983
534	0.01247605706
535	0.01242424187
536	0.01240916339
537	0.01238618483
538	0.01234448074
539	0.01230083206
540	0.01223707526
541	0.01221224306
542	0.01218859078
543	0.01214191121
544	0.01212750281
545	0.01210763303
546	0.01208142904
547	0.0120228232
548	0.01198621729
549	0.01197699839
550	0.01195743638
551	0.01193501358
552	0.0118944215
553	0.01185435145
554	0.01180334959
555	0.01178945427
556	0.01169319407
557	0.01167986913
558	0.01165752445
559	0.01164206579
560	0.01159538517
561	0.01157859048
562	0.01154613038
563	0.01150562699
564	0.01147531065
565	0.01144855743
566	0.01139982232
567	0.01136436872
568	0.01127666316
569	0.01125525372
570	0.01122328272
571	0.01118309901
572	0.01116800698
573	0.01113943117
574	0.01109844429
575	0.01108110741
576	0.01103476892
577	0.01102678475
578	0.01100996424
579	0.01099770681
580	0.01096671107
581	0.01090402801
582	0.01087667862
583	0.01083601561
584	0.01081055059
585	0.01079923341
586	0.0107804362
587	0.0107417681
588	0.01070551606
589	0.0106893498
590	0.0106738225
591	0.01062877217
592	0.01060789557
593	0.01058683207
594	0.01054205847
595	0.01051150676
596	0.0105059061
597	0.01048237584
598	0.01046883289
599	0.01043060942
600	0.01038760112
601	0.01035873091
602	0.01034164787
603	0.01032288113
604	0.01029869575
605	0.01026439719
606	0.01024648311
607	0.01022628979
608	0.01020034366
609	0.01015824927
610	0.01014143508
611	0.01012639529
612	0.01010228435
613	0.01006631203
614	0.01004148304
615	0.01001723576
616	0.009997415446
617	0.009983150995
618	0.009951729394
619	0.009927588747
620	0.009905860136
621	0.009885435926
622	0.009867462419
623	0.009859434668
624	0.009831760607
625	0.009795614468
626	0.009757207548
627	0.009742832047
628	0.009725998585
629	0.009701823227
630	0.009681284838
631	0.009643607999
632	0.009618602199
633	0.009598132943
634	0.009581337936
635	0.009562026522
636	0.009547315668
637	0.009526909698
638	0.009515613376
639	0.009503067176
640	0.009475396263
641	0.009463140377
642	0.009445835469
643	0.009438315251
644	0.009418379073
645	0.009398742032
646	0.009353926936
647	0.009339154334
648	0.009317710141
649	0.009301677668
650	0.009294016877
651	0.009282574765
652	0.009268127122
653	0.009230014105
654	0.009205059933
655	0.009193779736
656	0.009171645691
657	0.009143802833
658	0.009119446128
659	0.009107356938
660	0.009091288992
661	0.009079628811
662	0.009066775208
663	0.009053776489
664	0.009034053009
665	0.009029604196
666	0.009019420741
667	0.008997890248
668	0.008967978075
669	0.008959957626
670	0.008944629827
671	0.008922858846
672	0.008900067668
673	0.008885224542
674	0.0088633428
675	0.008843702686
676	0.008827668878
677	0.008814715573
678	0.008793529091
679	0.008781364739
680	0.008769735098
681	0.008758684868
682	0.008736932066
683	0.008728847304
684	0.008703568068
685	0.008693066664
686	0.008679257966
687	0.008643053346
688	0.008630269746
689	0.008618841683
690	0.008611656716
691	0.008584627242
692	0.008575120938
693	0.008561923476
694	0.008552307542
695	0.008545984359
696	0.008513814699
697	0.008495537198
698	0.008474593723
699	0.008464836582
700	0.008452218542
701	0.008446022746
702	0.00842551546
703	0.00840239741
704	0.008387740373
705	0.008351444507
706	0.008330288121
707	0.008306158292
708	0.00829828125
709	0.008292379192
710	0.008270224083
711	0.008260723508
712	0.008241189008
713	0.008230062839
714	0.008225556058
715	0.008180215772
716	0.00817405729
717	0.008167243405
718	0.008155999564
719	0.008145017349
720	0.008139321799
721	0.008129881586
722	0.008101525776
723	0.008089922818
724	0.008072327606
725	0.008036748875
726	0.008028237621
727	0.008007193609
728	0.007991300103
729	0.00797388752
730	0.007956924815
731	0.007939818091
732	0.007913653479
733	0.007902457204
734	0.00789114547
735	0.007881677548
736	0.007875376887
737	0.007857180695
738	0.007851525879
739	0.007827357781
740	0.007814441043
741	0.007803128963
742	0.007779152809
743	0.007769960048
744	0.007750836718
745	0.007739107151
746	0.007714589004
747	0.007707798097
748	0.007698398175
749	0.007679586635
750	0.007671207053
751	0.007650323416
752	0.007632385236
753	0.007615398922
754	0.007598699764
755	0.00758586118
756	0.007573635082
757	0.007563825253
758	0.007559836178
759	0.007552360499
760	0.0075362986
761	0.007521895527
762	0.00751434189
763	0.007502834215
764	0.007496034909
765	0.007486082223
766	0.007471932468
767	0.007465824081
768	0.007432966998
769	0.007423958232
770	0.007409285553
771	0.007400547404
772	0.007394451829
773	0.007373667986
774	0.007363926715
775	0.007348650944
776	0.007333154491
777	0.007322272379
778	0.0073162097
779	0.007311433791
780	0.007306695321
781	0.007299089331
782	0.00729101062
783	0.007284525034
784	0.007275891852
785	0.007227869042
786	0.007208989964
787	0.007191867996
788	0.007171891617
789	0.007167353815
790	0.007159718964
791	0.007143060192
792	0.007111663985
793	0.00710223047
794	0.007091610647
795	0.007087544506
796	0.007059431815
797	0.007042320177
798	0.007029450152
799	0.007022936964
800	0.007014301885
801	0.006998493761
802	0.006988248176
803	0.006975838
804	0.006962656378
805	0.006943596327
806	0.006930249666
807	0.006927892588
808	0.006912667913
809	0.006904213909
810	0.006893507155
811	0.006881986291
812	0.00687607978
813	0.006870622212
814	0.00684541252
815	0.006834201397
816	0.006827328433
817	0.00682400686
818	0.006818625258
819	0.00680542729
820	0.006791201809
821	0.006782146012
822	0.006772669394
823	0.00677061381
824	0.006757977829
825	0.006751942775
826	0.006745310483
827	0.00673937347
828	0.006704279001
829	0.006691966119
830	0.006677896813
831	0.006661784703
832	0.00664363697
833	0.006630492661
834	0.006620154069
835	0.006609992063
836	0.00660016818
837	0.006591526422
838	0.00658118169
839	0.006574281932
840	0.006567937519
841	0.006547516859
842	0.006540785088
843	0.006525904293
844	0.006516227332
845	0.006513296289
846	0.006510003983
847	0.006495680312
848	0.006479411015
849	0.006472097019
850	0.006465660422
851	0.006453388593
852	0.006441501346
853	0.006433329997
854	0.006428672055
855	0.006410482213
856	0.006400180612
857	0.006393060048
858	0.006382567897
859	0.006373108684
860	0.006365904839
861	0.006359589004
862	0.006352797079
863	0.006347509358
864	0.006341351804
865	0.006331675232
866	0.006325648013
867	0.006317002229
868	0.006302615657
869	0.006289259654
870	0.006278875665
871	0.006266852202
872	0.006262239991
873	0.006253930602
874	0.006246247548
875	0.006240573264
876	0.006229712053
877	0.006223164836
878	0.006210688777
879	0.006200848288
880	0.006194460084
881	0.006183005432
882	0.006174224609
883	0.006167551969
884	0.00616002194
885	0.00614689899
886	0.006135324156
887	0.006131141876
888	0.006126056364
889	0.006108819432
890	0.006102697417
891	0.00609890501
892	0.006091151825
893	0.006085932956
894	0.006072666011
895	0.006063808079
896	0.006059068906
897	0.006055520462
898	0.00603702851
899	0.006030309355
900	0.006020299597
901	0.006015398622
902	0.006007537429
903	0.005994793247
904	0.005991232744
905	0.005980240078
906	0.00597530326
907	0.0059702903
908	0.005967012919
909	0.005956593476
910	0.005950801534
911	0.005931858304
912	0.005924472046
913	0.005914218192
914	0.005907619327
915	0.005887644504
916	0.005877810362
917	0.005865273659
918	0.005860019841
919	0.005854026227
920	0.005835659501
921	0.005816305497
922	0.005807396256
923	0.005789662765
924	0.005775474893
925	0.005771950938
926	0.005759784356
927	0.005749227766
928	0.00574400218
929	0.005738618819
930	0.005730216474
931	0.005722145322
932	0.005715970295
933	0.005706332449
934	0.005704081582
935	0.005698060668
936	0.005692978763
937	0.005685802991
938	0.005681978259
939	0.005666323158
940	0.005664677442
941	0.00566207246
942	0.005646385182
943	0.005638680672
944	0.005631556647
945	0.005623913735
946	0.005613859908
947	0.005606198175
948	0.005601540759
949	0.005589066069
950	0.00558368918
951	0.005581735578
952	0.005577983538
953	0.005571290605
954	0.005567867131
955	0.005560784709
956	0.005552911952
957	0.005543505782
958	0.005534145907
959	0.005530170615
960	0.005528256886
961	0.00552421821
962	0.005510604281
963	0.005497724836
964	0.005487191067
965	0.005480786057
966	0.005473339742
967	0.005468496893
968	0.005455402286
969	0.00544579185
