iter	Passed	Remaining
0	348	348637
1	555	277191
2	756	251342
3	975	242865
4	1182	235322
5	1411	233859
6	1620	229815
7	1824	226285
8	2017	222201
9	2243	222142
10	2407	216449
11	2608	214794
12	2806	213102
13	2983	210097
14	3146	206603
15	3323	204396
16	3501	202481
17	3684	201030
18	3858	199236
19	4060	198952
20	4233	197374
21	4455	198086
22	4630	196715
23	4791	194859
24	5011	195431
25	5181	194109
26	5397	194500
27	5623	195203
28	5855	196068
29	6029	194951
30	6224	194577
31	6384	193126
32	6582	192885
33	6747	191715
34	6957	191820
35	7094	189982
36	7262	189029
37	7458	188827
38	7596	187177
39	7784	186835
40	7930	185498
41	8109	184969
42	8250	183618
43	8411	182761
44	8583	182162
45	8726	180976
46	8888	180236
47	9052	179533
48	9201	178587
49	9331	177305
50	9482	176450
51	9666	176221
52	9841	175848
53	9962	174535
54	10137	174172
55	10294	173539
56	10433	172604
57	10621	172504
58	10798	172220
59	10971	171893
60	11132	171364
61	11384	172240
62	11562	171964
63	11741	171723
64	11893	171076
65	12040	170390
66	12200	169900
67	12377	169648
68	12511	168816
69	12678	168446
70	12820	167756
71	12986	167381
72	13170	167249
73	13316	166631
74	13475	166197
75	13643	165874
76	13832	165814
77	13992	165402
78	14139	164838
79	14383	165415
80	14580	165430
81	14771	165373
82	14980	165503
83	15159	165313
84	15349	165234
85	15520	164955
86	15702	164785
87	15877	164546
88	16028	164068
89	16165	163447
90	16302	162845
91	16460	162456
92	16599	161886
93	16733	161284
94	16888	160883
95	17032	160386
96	17166	159805
97	17292	159161
98	17443	158750
99	17595	158361
100	17728	157803
101	17900	157592
102	18026	156985
103	18174	156581
104	18323	156186
105	18468	155762
106	18589	155143
107	18776	155082
108	18931	154749
109	19098	154523
110	19270	154341
111	19427	154034
112	19589	153766
113	19737	153399
114	19894	153103
115	20055	152836
116	20281	153065
117	20459	152926
118	20588	152420
119	20723	151974
120	20869	151607
121	21011	151213
122	21162	150889
123	21329	150683
124	21527	150694
125	21651	150184
126	21809	149920
127	21975	149707
128	22123	149373
129	22269	149031
130	22435	148825
131	22601	148623
132	22775	148466
133	22951	148328
134	23110	148075
135	23290	147961
136	23479	147906
137	23640	147665
138	23818	147539
139	24040	147674
140	24191	147381
141	24350	147129
142	24490	146768
143	24656	146567
144	24774	146083
145	24952	145954
146	25101	145659
147	25222	145197
148	25353	144802
149	25506	144535
150	25699	144498
151	25876	144363
152	26001	143940
153	26145	143628
154	26297	143362
155	26440	143052
156	26576	142698
157	26737	142487
158	26886	142208
159	27038	141949
160	27186	141672
161	27345	141453
162	27519	141310
163	27687	141138
164	27843	140902
165	28025	140804
166	28211	140718
167	28358	140440
168	28508	140180
169	28694	140095
170	28852	139876
171	29002	139614
172	29143	139318
173	29281	139001
174	29423	138712
175	29569	138438
176	29744	138304
177	29903	138095
178	30058	137866
179	30219	137666
180	30393	137524
181	30547	137294
182	30702	137071
183	30862	136868
184	31066	136861
185	31249	136756
186	31422	136611
187	31595	136466
188	31762	136294
189	31913	136051
190	32092	135930
191	32281	135853
192	32449	135682
193	32619	135520
194	32779	135319
195	33009	135406
196	33194	135305
197	33364	135141
198	33526	134947
199	33683	134732
200	33867	134628
201	34036	134462
202	34187	134223
203	34370	134113
204	34507	133821
205	34668	133626
206	34823	133404
207	34958	133111
208	35099	132840
209	35259	132641
210	35415	132431
211	35571	132219
212	35716	131965
213	35866	131734
214	36053	131636
215	36234	131516
216	36381	131275
217	36536	131062
218	36686	130830
219	36824	130561
220	37023	130502
221	37175	130282
222	37320	130035
223	37479	129838
224	37638	129643
225	37797	129449
226	37961	129271
227	38103	129016
228	38246	128769
229	38409	128588
230	38563	128378
231	38732	128216
232	38891	128023
233	39038	127793
234	39191	127582
235	39335	127340
236	39490	127135
237	39635	126900
238	39774	126646
239	39951	126512
240	40130	126384
241	40299	126227
242	40459	126039
243	40605	125810
244	40752	125585
245	40900	125362
246	41040	125114
247	41185	124884
248	41323	124633
249	41476	124428
250	41637	124249
251	41793	124052
252	41925	123789
253	42077	123581
254	42248	123432
255	42378	123163
256	42525	122942
257	42673	122728
258	42834	122548
259	42989	122353
260	43138	122142
261	43275	121897
262	43418	121672
263	43567	121461
264	43696	121197
265	43829	120943
266	43980	120741
267	44130	120535
268	44293	120366
269	44436	120142
270	44578	119916
271	44745	119760
272	44896	119558
273	45068	119415
274	45214	119202
275	45363	118996
276	45486	118724
277	45651	118562
278	45804	118370
279	45964	118193
280	46146	118075
281	46296	117875
282	46428	117629
283	46569	117408
284	46738	117255
285	46871	117013
286	47020	116813
287	47173	116623
288	47303	116377
289	47471	116224
290	47642	116078
291	47807	115915
292	47939	115676
293	48088	115478
294	48229	115259
295	48365	115032
296	48540	114895
297	48700	114724
298	48848	114524
299	49016	114372
300	49170	114187
301	49330	114016
302	49472	113804
303	49636	113640
304	49774	113421
305	49909	113193
306	50062	113006
307	50226	112846
308	50380	112663
